,,mse,mae,r2
next_AVG,Linear Regression,3.1578327617891144,1.147659365914648,-4095.250488566059
next_AVG,Random Forest,0.0008132236346153834,0.023400128205128188,-0.054890477708329
next_HR,Linear Regression,19927395.374623626,1217.28769173466,-201856.89404675586
next_HR,Random Forest,48.79514102564104,5.315384615384616,0.50572143413718
next_RBI,Linear Regression,293808154.57068074,4773.7522926805605,-504713.39764134074
next_RBI,Random Forest,286.4830128205128,13.641794871794868,0.5078689988660697
next_OBP,Linear Regression,8.711785498201674,2.2586360361679185,-8628.477811169403
next_OBP,Random Forest,0.000892326893589743,0.02237423076923077,0.11610368160098272
